number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_n_steps,state
0,-0.5021956339478493,2025-04-03 19:49:54.541436,2025-04-03 19:51:32.426047,0 days 00:01:37.884611,256,0.26648852816008434,0.08706020878304858,0.9020378649352845,0.970736450521825,5.6115164153345e-05,512,COMPLETE
1,-1.6767681241035461,2025-04-03 19:51:32.440182,2025-04-03 19:53:14.332798,0 days 00:01:41.892616,256,0.2570351922786027,0.008168455894760165,0.9362698224860755,0.9291852503886683,2.6587543983272695e-05,4096,COMPLETE
2,-2.068292200565338,2025-04-03 19:53:14.337949,2025-04-03 19:55:05.199235,0 days 00:01:50.861286,512,0.23684660530243137,0.0015679933916723015,0.9301567631481638,0.9807588950768344,2.5081156860452307e-05,4096,COMPLETE
3,-2.068292200565338,2025-04-03 19:55:05.205348,2025-04-03 19:57:34.423789,0 days 00:02:29.218441,128,0.2550265646722229,0.08692991511139551,0.9183005910970272,0.9546163569063937,7.591104805282687e-05,4096,COMPLETE
4,-0.8937197774648666,2025-04-03 19:57:34.441971,2025-04-03 20:00:16.054570,0 days 00:02:41.612599,512,0.15618690193747614,0.005170191786366992,0.982045013406041,0.9271077682742123,0.0007568292060167617,2048,COMPLETE
5,-0.8973018825054169,2025-04-03 20:00:16.067788,2025-04-03 20:05:08.352027,0 days 00:04:52.284239,512,0.11480893034681808,0.034877126245459314,0.9721717096360577,0.970615048650377,0.00012172847081122418,4096,COMPLETE
6,-2.068292200565338,2025-04-03 20:05:08.385939,2025-04-03 20:09:10.362854,0 days 00:04:01.976915,512,0.12391884918766034,0.008798929749689027,0.9878340615150564,0.9636919913883858,5.211124595788268e-05,1024,COMPLETE
7,-1.2852438539266586,2025-04-03 20:09:10.384025,2025-04-03 20:17:07.734813,0 days 00:07:57.350788,64,0.20171413823294054,0.00425316236379087,0.9630046307151142,0.9031397756501047,0.0002669866674274458,2048,COMPLETE
8,-1.2852438539266586,2025-04-03 20:17:07.801117,2025-04-03 20:22:25.886070,0 days 00:05:18.084953,512,0.2607344153798229,0.05532496914298508,0.9627069718945319,0.9807312259184853,0.0006533305220227731,2048,COMPLETE
9,-1.6767681241035461,2025-04-03 20:22:25.931377,2025-04-03 20:28:23.968574,0 days 00:05:58.037197,512,0.20214946051551314,0.0010325337616482041,0.985212327742378,0.981719675115657,2.3612399244412595e-05,4096,COMPLETE
10,-1.6767681241035461,2025-04-03 20:28:24.053184,2025-04-03 20:33:44.866631,0 days 00:05:20.813447,256,0.2942471137145831,0.024015639024822462,0.9014371930572476,0.9931695084456322,1.2150104649007388e-05,512,COMPLETE
11,10.963114960119128,2025-04-03 20:33:44.897577,2025-04-03 20:39:13.127439,0 days 00:05:28.229862,256,0.15844769310039722,0.0032532571808909236,0.9008598013702919,0.9366932019346493,0.0008515301576092657,512,COMPLETE
12,2.7220803536474705,2025-04-03 20:39:13.152364,2025-04-03 20:44:47.564290,0 days 00:05:34.411926,256,0.16542540908324202,0.0026837575004752547,0.9007686261184348,0.9388636672580146,0.0003052094836994649,512,COMPLETE
13,5.133961744140834,2025-04-03 20:44:47.589784,2025-04-03 20:49:27.348724,0 days 00:04:39.758940,256,0.16855985765326326,0.002513804429652114,0.9164878772428683,0.9347285797066086,0.00038165556248635226,512,COMPLETE
14,-1.2852438539266586,2025-04-03 20:49:27.363490,2025-04-03 20:52:14.197641,0 days 00:02:46.834151,256,0.16244698718442327,0.00304165439307662,0.9189064701362994,0.9107472815318352,0.00039470968788557834,512,COMPLETE
15,13.857859742641448,2025-04-03 20:52:14.265457,2025-04-03 20:54:37.700578,0 days 00:02:23.435121,128,0.14046682364335814,0.01610027462670205,0.9193969698666327,0.9413640915259442,0.000989165298752615,512,COMPLETE
16,36.604295587539674,2025-04-03 20:54:37.712455,2025-04-03 20:56:54.569289,0 days 00:02:16.856834,128,0.13877550492365676,0.018242609941109465,0.9415864692175385,0.9519295593446467,0.0009240583599076375,1024,COMPLETE
17,-1.6767681241035461,2025-04-03 20:56:54.581836,2025-04-03 20:59:03.828137,0 days 00:02:09.246301,128,0.10204269325911546,0.021551049768927497,0.9446173476234849,0.9522772732829499,0.00018303751160105751,1024,COMPLETE
18,1.516139604151249,2025-04-03 20:59:03.837162,2025-04-03 21:01:17.333895,0 days 00:02:13.496733,128,0.13479918529777093,0.015006703161520678,0.944841598812162,0.9182849969847591,0.0005514489894810467,1024,COMPLETE
19,4.725987833738327,2025-04-03 21:01:17.347006,2025-04-03 21:04:38.475836,0 days 00:03:21.128830,128,0.18728437835860853,0.013623400291799924,0.9317159275062773,0.9480149820781449,0.0009317931003681955,1024,COMPLETE
